,Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,Return_Score,log_vol,Liquidity_Score,Composite_Score,MarketCap_B,Daily_Vol_M,ForwardPE,ProfitMargin,ROE,DebtToEquity
85,TSHA,1.92,5.25,Established,Pre-2025,"Taysha Gene Therapies, Inc.",2.73,29520578.6329,Healthcare,0.0276,17.2006,0.4197,0.1452,1.36,12.06,-11.347032,0.0,-64.9,31.546
86,KOD,9.12,26.02,Established,Pre-2025,Kodiak Sciences Inc.,2.85,18722316.1376,Healthcare,0.0414,16.7452,0.3699,0.1399,1.64,28.35,-6.9628935,0.0,-207.9,262.54
87,WLDN,38.58,106.66,Established,Pre-2025,"Willdan Group, Inc.",2.76,22463253.7417,Industrials,0.031,16.9274,0.3898,0.1387,1.7,29.45,25.485083,0.06371,16.4,23.979
88,AMLX,4.15,11.42,Established,Pre-2025,"Amylyx Pharmaceuticals, Inc.",2.75,21373792.5375,Healthcare,0.0299,16.8777,0.3844,0.1362,1.34,19.97,-9.795134,0.0,-56.5,1.788
89,OWLT,4.55,16.17,Established,Pre-2025,"Owlet, Inc.",3.55,2937308.7647,Healthcare,0.1218,14.893,0.1675,0.1356,0.42,3.23,-60.63001,-0.39683,,
90,MNPR,22.98,66.01,Established,Pre-2025,Monopar Therapeutics,2.87,13380948.0373,Healthcare,0.0437,16.4093,0.3332,0.1305,0.42,24.12,-18.119385,0.0,-26.5,0.072
91,LPTH,4.14,11.72,Established,Pre-2025,LIGHTPATH TECHNOLOGIES INC,2.83,14180297.2757,Technology,0.0391,16.4674,0.3396,0.1292,0.56,33.71,137.80333,-0.36806,-37.9,27.597
92,GALT,1.16,4.05,Established,Pre-2025,GALECTIN THERAPEUTICS INC,3.49,2568262.4903,Healthcare,0.1149,14.7587,0.1529,0.1263,0.19,1.56,-1.7619048,0.0,,
93,BLTE,62.09,159.27,Established,Pre-2025,"BELITE BIO, INC",2.57,23242929.5543,Healthcare,0.0092,16.9615,0.3936,0.1245,6.17,39.96,-192.01675,0.0,-32.3,0.186
94,TRVI,4.59,11.89,Established,Pre-2025,"Trevi Therapeutics, Inc.",2.59,21837216.0425,Healthcare,0.0115,16.8991,0.3867,0.1241,1.47,15.43,-24.393618,0.0,-36.9,0.434
95,TTI,3.83,9.79,Established,Pre-2025,TETRA TECHNOLOGIES INC,2.56,20368072.5335,Industrials,0.008,16.8295,0.3791,0.1194,1.33,17.23,39.9,0.19754,54.0,73.575
96,CV,3.5,12.39,IPO,2025-07-02,"CapsoVision, Inc",3.54,1748457.3318,Healthcare,0.1207,14.3742,0.1109,0.1177,0.31,2.31,,-1.72372,,4.784
97,GOSS,1.02,2.88,Established,Pre-2025,"Gossamer Bio, Inc.",2.82,10176510.3901,Healthcare,0.0379,16.1356,0.3033,0.1175,0.57,11.8,-4.16759,0.0,,
98,IMRX,2.34,6.62,Established,Pre-2025,Immuneering Corp,2.83,8856255.5896,Healthcare,0.0391,15.9966,0.2881,0.1138,0.31,16.97,-3.2565491,0.0,-43.8,1.718
99,USAU,6.17,18.48,Established,Pre-2025,U.S. GOLD CORP.,3.0,5794171.3437,Basic Materials,0.0586,15.5724,0.2418,0.1136,0.33,8.03,-17.21519,0.0,-115.5,0.338
