#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
6.5757804,18,30.077419
6.193151,18,30.084374
6.3332834,18,30.091288
6.7042847,18,30.099008
6.897456,18,30.109006
6.829041,18,30.117979
6.715621,18,30.131472
6.2734885,18,30.142983
6.6078873,18,30.150327
6.600677,18,30.162748
6.315199,18,30.177794
6.548228,18,30.189016
6.693314,18,30.223568
6.795013,18,30.234215
6.7689342,18,30.875774
6.309071,18,30.882082
6.8597703,18,30.889117
6.665656,18,30.896036
6.562911,18,30.902898
6.834431,18,30.912641
6.787182,18,30.920452
6.6452904,18,30.926969
6.4885035,18,30.93326
6.715301,18,30.940145
6.642694,18,30.946774
6.840464,18,30.953583
6.6784077,18,30.960226
6.877863,18,30.966744
6.5631647,18,31.401859
6.83196,18,31.40863
6.9590163,18,31.414928
6.7828484,18,31.421525
6.8180747,18,31.427737
6.704299,18,31.436593
6.4987035,18,31.442984
6.562483,18,31.449271
6.7096214,18,31.455676
6.5243425,18,31.461777
6.6709833,18,31.467795
6.955024,18,31.474388
6.77447,18,31.480642
6.549338,18,31.486949
6.4089236,18,31.885681
6.5560665,18,31.89244
6.561998,18,31.898548
6.3044543,18,31.905079
6.3498197,18,31.91194
6.4528017,18,31.919008
6.822073,18,31.925531
6.6324544,18,31.93224
6.810683,18,31.939657
6.550931,18,31.945967
6.9152646,18,31.952308
6.790219,18,31.961752
6.6917152,18,31.967981
6.808304,18,31.97478
6.608235,18,31.98114
6.831033,18,32.448728
6.889548,18,32.455446
6.6786747,18,32.461723
6.377452,18,32.46792
6.941609,18,32.474157
6.378483,18,32.480246
6.90083,18,32.486302
6.847065,18,32.495539
6.872589,18,32.501947
6.7471757,18,32.508405
6.5197077,18,32.514675
6.6938186,18,32.521
6.7982492,18,32.527741
6.7508345,18,32.534137
6.7581367,18,32.958021
6.7338815,18,32.965056
6.8322783,18,32.972133
6.6240115,18,32.979394
6.6736283,18,32.986388
6.7938547,18,32.993042
6.526368,18,32.999949
6.642893,18,33.006648
6.9216638,18,33.013451
6.7652774,18,33.022973
6.9073,18,33.030062
6.8963246,18,33.036971
6.4431615,18,33.043767
6.420811,18,33.050247
6.712883,18,33.458296
6.8865967,18,33.464835
6.5287304,18,33.471571
6.5431128,18,33.477915
6.8000464,18,33.484172
6.620547,18,33.490993
6.718274,18,33.497501
6.8429313,18,33.503926
6.9538975,18,33.510578
6.8461137,18,33.516835
6.418052,18,33.523428
6.6531787,18,33.529812
6.7851224,18,33.538195
6.910002,18,33.545571
6.487235,18,33.943728
6.9361525,18,33.95316
6.8120866,18,33.959627
6.7236557,18,33.965808
6.828133,18,33.972621
6.8788366,18,33.978711
6.5543947,18,33.984689
6.8030396,18,34.040121
6.8928986,18,34.046458
6.8749094,18,34.055535
6.541324,18,34.061935
6.8681526,18,34.068276
6.524019,18,34.075008
